"season","date","stadium","away_team","home_team","away_total_score","home_total_score","winner_side","winning_margin","margin_bucket"
"中職2024年","2024-06-22 17:06:00","樂天桃園棒球場","富邦悍將","樂天桃猿",2,7,"home",5,"4_plus_runs"
"中職2024年","2024-07-12 18:36:00","澄清湖棒球場","樂天桃猿","台鋼雄鷹",7,2,"away",5,"4_plus_runs"
"中職2024年","2024-07-17 18:36:00","樂天桃園棒球場","味全龍","樂天桃猿",6,13,"home",7,"4_plus_runs"
"中職2024年","2024-05-26 17:05:00","樂天桃園棒球場","味全龍","樂天桃猿",4,5,"home",1,"1_run"
"中職2024年","2024-04-24 18:35:00","臺南市立棒球場","味全龍","統一7-ELEVEn獅",11,2,"away",9,"4_plus_runs"
"中職2024年","2024-06-29 17:05:00","新北市立新莊棒球場","統一7-ELEVEn獅","富邦悍將",4,5,"home",1,"1_run"
"中職2024年","2024-04-19 18:35:00","臺南市立棒球場","富邦悍將","統一7-ELEVEn獅",1,3,"home",2,"2_3_runs"
"中職2024年","2024-08-09 18:35:00","新北市立新莊棒球場","味全龍","富邦悍將",2,1,"away",1,"1_run"
"中職2024年","2024-06-15 17:05:00","臺北市立天母棒球場","樂天桃猿","味全龍",5,2,"away",3,"2_3_runs"
"中職2024年","2024-04-06 17:05:00","臺北大巨蛋","中信兄弟","樂天桃猿",8,9,"home",1,"1_run"
"中職2024年","2024-08-02 18:35:00","花蓮縣立德興棒球場","樂天桃猿","味全龍",3,7,"home",4,"4_plus_runs"
"中職2024年","2024-07-01 18:35:00","澄清湖棒球場","富邦悍將","台鋼雄鷹",13,5,"away",8,"4_plus_runs"
"中職2024年","2024-08-16 18:35:00","樂天桃園棒球場","統一7-ELEVEn獅","樂天桃猿",2,5,"home",3,"2_3_runs"
"中職2024年","2024-09-12 18:35:00","樂天桃園棒球場","中信兄弟","樂天桃猿",8,13,"home",5,"4_plus_runs"
"中職2024年","2024-04-17 18:36:00","臺南市立棒球場","統一7-ELEVEn獅","樂天桃猿",10,0,"away",10,"4_plus_runs"
"中職2024年","2024-08-22 18:35:00","新北市立新莊棒球場","台鋼雄鷹","富邦悍將",2,1,"away",1,"1_run"
"中職2024年","2024-09-20 18:36:00","樂天桃園棒球場","味全龍","樂天桃猿",1,7,"home",6,"4_plus_runs"
"中職2024年","2024-07-28 17:05:00","臺北大巨蛋","台鋼雄鷹","富邦悍將",0,8,"home",8,"4_plus_runs"
"中職2024年","2024-09-29 17:05:00","臺北大巨蛋","富邦悍將","味全龍",2,3,"home",1,"1_run"
"中職2024年","2024-05-07 18:23:00","臺東棒球村第一棒球場","富邦悍將","台鋼雄鷹",1,0,"away",1,"1_run"
"中職2024年","2024-05-15 18:36:00","樂天桃園棒球場","台鋼雄鷹","樂天桃猿",5,0,"away",5,"4_plus_runs"
"中職2024年","2024-07-10 18:35:00","臺北市立天母棒球場","統一7-ELEVEn獅","味全龍",9,0,"away",9,"4_plus_runs"
"中職2024年","2024-09-10 18:35:00","新北市立新莊棒球場","統一7-ELEVEn獅","富邦悍將",9,1,"away",8,"4_plus_runs"
"中職2024年","2024-08-10 17:05:00","臺北大巨蛋","中信兄弟","台鋼雄鷹",8,6,"away",2,"2_3_runs"
"中職2024年","2024-04-27 17:05:00","臺中市洲際棒球場","統一7-ELEVEn獅","中信兄弟",6,7,"home",1,"1_run"
"中職2024年","2024-09-21 17:09:00","臺北大巨蛋","味全龍","中信兄弟",2,4,"home",2,"2_3_runs"
"中職2024年","2024-07-16 18:35:00","新北市立新莊棒球場","中信兄弟","富邦悍將",3,9,"home",6,"4_plus_runs"
